City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Juneau,US,58.3019,-134.4197,41.0,56,40,3.44,scattered clouds
182,Tawagan,PH,7.845,123.4753,81.01,77,100,6.8,overcast clouds
183,Arraial Do Cabo,BR,-22.9661,-42.0278,76.46,92,9,8.77,clear sky
184,La Libertad,EC,-2.2333,-80.9,76.82,81,98,1.23,overcast clouds
185,Cidreira,BR,-30.1811,-50.2056,66.04,79,92,9.55,overcast clouds
186,Dongsheng,CN,39.8161,109.9776,39.27,18,1,10.09,clear sky
187,Nabire,ID,-3.3667,135.4833,87.04,63,91,5.97,overcast clouds
188,Bakchar,RU,57.0186,82.0711,20.01,84,45,2.48,scattered clouds
189,Warri,NG,5.5167,5.75,78.57,90,21,2.73,few clouds
190,Hay River,CA,60.8156,-115.7999,12.18,85,75,6.91,light snow
191,Kuminskiy,RU,58.6667,66.5667,12.06,85,28,9.93,scattered clouds
192,Kaitangata,NZ,-46.2817,169.8464,60.06,71,1,6.55,clear sky
193,Sinnamary,GF,5.3833,-52.95,77.05,86,100,10.8,overcast clouds
194,Khorixas,NA,-20.3667,14.9667,67.33,70,2,1.25,clear sky
195,Merritt Island,US,28.5392,-80.672,64.98,59,0,11.01,clear sky
196,Tual,ID,-5.6667,132.75,82.22,75,100,12.82,overcast clouds
197,Pisco,PE,-13.7,-76.2167,66.25,82,0,8.05,clear sky
198,Karoi,ZW,-16.8099,29.6925,63.82,93,100,3.71,overcast clouds
199,Gualeguay,AR,-33.1416,-59.3097,59.31,91,0,5.01,clear sky
200,Lebu,CL,-37.6167,-73.65,54.19,91,18,3.47,few clouds
201,Canto Do Buriti,BR,-8.11,-42.9444,73.67,74,58,2.37,broken clouds
202,Katsuura,JP,35.1333,140.3,59.11,83,93,21.12,overcast clouds
203,Bukachacha,RU,52.9833,116.9167,29.05,76,97,7.49,overcast clouds
204,Pierre,US,44.3683,-100.351,31.86,47,40,8.01,scattered clouds
205,Souillac,MU,-20.5167,57.5167,77.38,94,20,3.44,few clouds
206,Japura,ID,-0.3167,102.35,91.26,54,20,4.0,few clouds
207,Namatanai,PG,-3.6667,152.4333,85.14,67,89,6.02,overcast clouds
208,Upata,VE,8.0086,-62.3989,71.49,85,100,6.55,overcast clouds
209,Ritchie,ZA,-29.038,24.6028,52.81,32,3,4.63,clear sky
210,Sherbrooke,CA,45.4001,-71.8991,36.18,87,100,3.44,overcast clouds
211,Yudong,CN,29.385,106.5194,62.37,94,100,4.14,overcast clouds
212,Westport,US,41.1415,-73.3579,44.89,92,100,1.99,overcast clouds
213,Suntar,RU,62.1444,117.6319,28.92,80,100,4.99,overcast clouds
214,Makakilo City,US,21.3469,-158.0858,79.12,56,20,16.11,few clouds
215,Atikokan,CA,48.7555,-91.6216,4.28,81,53,10.16,broken clouds
216,Bethel,US,41.3712,-73.414,41.76,90,100,5.68,light rain
217,Novobirilyussy,RU,56.9514,90.6661,19.98,83,95,9.31,overcast clouds
218,Oistins,BB,13.0667,-59.5333,77.09,69,0,16.11,clear sky
219,Tautira,PF,-17.7333,-149.15,81.41,75,27,13.2,light rain
220,San Roque,ES,36.2107,-5.3842,56.91,88,99,20.36,overcast clouds
221,Padang,ID,-0.9492,100.3543,87.85,57,4,6.24,clear sky
222,Jertih,MY,5.7336,102.4897,87.87,63,58,4.18,broken clouds
223,Beloha,MG,-25.1667,45.05,73.27,89,96,7.81,overcast clouds
224,Irricana,CA,51.3237,-113.6048,41.14,57,99,6.24,overcast clouds
225,Baracoa,CU,20.3467,-74.4958,73.31,92,100,4.18,overcast clouds
226,Nhamunda,BR,-2.1861,-56.7131,73.92,98,29,2.19,scattered clouds
227,Jogeva,EE,58.7467,26.3939,22.89,68,58,12.21,broken clouds
228,Boralday,KZ,43.3578,76.8594,42.66,81,100,17.9,light intensity shower rain
229,Banda Aceh,ID,5.5577,95.3222,84.81,70,24,1.28,few clouds
230,Pangody,RU,65.85,74.4859,2.26,85,68,3.18,broken clouds
231,Kathu,TH,7.9178,98.3332,87.69,86,2,3.02,clear sky
232,Salalah,OM,17.0151,54.0924,82.49,37,100,1.5,overcast clouds
233,Almeirim,BR,-1.5233,-52.5817,73.78,98,99,4.14,light rain
234,Zaozerne,UA,45.1582,33.2787,46.45,85,100,23.67,overcast clouds
235,Provins,FR,48.5833,3.1667,45.79,69,0,8.84,clear sky
236,Myitkyina,MM,25.3833,97.4,84.54,42,44,2.93,scattered clouds
